move,occurrences,examples,matched,ruleId,type,category,validationStatus,runtimeDecisionCount,flags,pokemonBehavior,system,recommendation
"Stone Edge","3","Eneias/Dwebble, Ezenek/donphan, Icarus/Rockruff","true","move:stone-edge:59","Rock","Físico","automatic","0","catalog","Has an increased chance for a critical hit.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Stone Edge (Alternativo - Palissada de Estacas)","1","Shintaro/Lycanroc (Midnight)","true","move:stone-edge-alternativo-palissada-de-estacas:571","Rock","Status","automatic","1","catalog;runtime_decision","Has an increased chance for a critical hit.","create target=field res=thg extras=Improved Critical 1 | damage target=target res=thg linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"String Shot","1","Eneias/Yanma","true","move:string-shot:479","Bug","Status","automatic","0","catalog","Lowers the target’s Speed by two stages.","affliction target=target res=dodge cond=rank/rank/rank extras=Increased Range 1","OK pelo catalogo/engine atual."
"Sucker Punch","4","Delta/Bisharp, Delta/Spiritomb, Icarus/Mightyena, Nyx/Houndour","true","move:sucker-punch:399","Dark","Físico","automatic","0","catalog","Only works if the target is about to use a damaging move.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Sunny Day","1","Nala/Sawsbuck","true","move:sunny-day:10","Fire","Status","automatic","0","catalog","Changes the weather to sunny for five turns.","environment target=field extras=Increased Range 1","OK pelo catalogo/engine atual."
"Superpower","1","Delta/Malamar","true","move:superpower:401","Fighting","Físico","automatic","0","catalog;self_debuff;wrong_self_debuff_target","Lowers the user’s Attack and Defense by one stage after inflicting damage.","damage target=target res=thg | weaken target=target res=thg trait=stgr linked","Corrigir debuff de usuario: aplicar no atacante/self (Stgr -1, Thg -1), sem resistencia do alvo."
"Supersonic","1","RCsar/Doduo","true","move:supersonic:402","Normal","Status","automatic","0","catalog","Confuses the target.","affliction target=target res=will cond=vulnerable/defenseless/controlled extras=Increased Range 1 | affliction target=target res=will cond=vulnerable/defenseless/controlled linked","OK pelo catalogo/engine atual."
"Surf","5","Amber/Pangoro, Amber/Starmie, Delta/Staryu, Ezenek/Octillery","true","move:surf:77","Water","Especial","automatic","0","catalog","Inflicts regular damage and can hit Dive users.","damage target=target res=thg extras=Increased Range 1+Area: Cloud","OK pelo catalogo/engine atual."
"Swallow (Alternativo - Contest Combo: Stockpile → Swallow (Explosão de Energia))","1","Shintaro/Mawile","true","move:swallow-alternativo-contest-combo-stockpile-swallow-explosao-de-energia:616","Normal","Status","automatic","0","catalog","Recovers 1/4 HP after one Stockpile, 1/2 HP after two Stockpiles, or full HP after three Stockpiles.","enhanced_trait target=self | feature target=target linked | healing target=self linked | affliction target=target res=fort cond=impaired/disabled/unaware linked","OK pelo catalogo/engine atual."
"Sweet Scent","2","Ezenek/Teddiursa, Logan/Victribell","true","move:sweet-scent:404","Normal","Status","automatic","0","catalog","Movimento de status do tipo Normal. Alcance corpo a corpo.","weaken target=target res=fort trait=dodge extras=Increased Range 1+Area: Cloud","OK pelo catalogo/engine atual."
"Swim","1","Amber/golisopod","true","move:swim:131","","Status","automatic","0","catalog","Nadar com eficiência.","movement target=self","OK pelo catalogo/engine atual."
"Swords Dance","9","Amber/Pangoro, Delta/Bisharp, Delta/Gallade, Eneias/Yanma","true","move:swords-dance:63","Normal","Status","automatic","0","catalog;self_debuff","Raises the user’s Attack by two stages.","enhanced_trait target=self trait=stgr","OK pelo catalogo/engine atual."
"Synthesis","2","Eneias/Parasect, Nala/Chikorita","true","move:synthesis:406","Grass","Status","automatic","0","catalog","Heals the user by half its max HP. Affected by weather.","healing target=self","OK pelo catalogo/engine atual."
"Tackle","4","Ezenek/Octillery, Ezenek/spheal, dtvcacaio/Squirtle, dtvcacaio/Squirtle","true","move:tackle:121","Normal","Físico","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Tail Whip","2","Ezenek/Nidoran ♀, Nala/PICHU","true","move:tail-whip:408","Normal","Status","automatic","0","catalog","Lowers the target’s Defense by one stage.","weaken target=target res=fort trait=thg extras=Cumulative","OK pelo catalogo/engine atual."
"Tailwind","2","Delta/honchkrow, James HiBorn/Dodrio","true","move:tailwind:409","Flying","Status","automatic","0","catalog","For three turns, friendly Pokémon have doubled Speed.","enhanced_trait target=self trait=dodge/initiative extras=Increased Range 1+Area: Burst","OK pelo catalogo/engine atual."
"Take Down","1","Nala/Sawsbuck","true","move:take-down:410","Normal","Físico","automatic","0","catalog","User receives 1/4 the damage it inflicts in recoil.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Taunt","15","Amber/Pangoro, Delta/Hydreigon, Delta/Muk-A, Delta/Spiritomb","true","move:taunt:122","Dark","Status","automatic","0","catalog","For the next few turns, the target can only use damaging moves.","affliction target=target res=will cond=rank/rank/rank extras=Increased Range 1","OK pelo catalogo/engine atual."
"Teleport","3","Delta/Gallade, Icarus/Dottler, James HiBorn/Espeon","true","move:teleport:123","Psychic","Status","automatic","1","catalog;runtime_decision","Immediately ends wild battles. No effect otherwise.","teleport target=target res=will","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Thief","1","Delta/honchkrow","true","move:thief:36","Dark","Físico","automatic","1","catalog;runtime_decision","Takes the target’s item.","damage target=target res=thg | move_object target=target res=thg linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Thunder","5","Ezenek/Lycanroc (Midday), Felicia Fulgar/Electivire, Felicia Fulgar/Raichu, Icarus/Flaaffy","true","move:thunder:20","Electric","Especial","automatic","0","catalog;secondary_guaranteed","Has a 30% chance to paralyze the target.","damage target=target res=thg trait=speed/initiative | affliction target=target res=fort cond=fatigued/immobile/paralyzed trait=speed/initiative linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Thunderbolt","4","Ezenek/Emolga, Felicia Fulgar/Raichu, Logan/Pikachu, Nala/PICHU","true","move:thunderbolt:19","Electric","Especial","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to paralyze the target.","damage target=target res=thg trait=speed/initiative extras=Increased Range 1 | affliction target=target res=fort cond=fatigued/immobile/paralyzed trait=speed/initiative linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Topsy-Turvy","1","Delta/Malamar","true","move:topsy-turvy:415","Dark","Status","automatic","1","catalog;runtime_decision","Inverts the target’s stat modifiers.","nullify target=target res=will extras=Increased Range 1","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Torment","2","Delta/Hydreigon, Nyx/Houndour","true","move:torment:32","Dark","Status","automatic","0","catalog","Prevents the target from using the same move twice in a row.","affliction target=target res=will cond=rank/rank/rank extras=Increased Range 1","OK pelo catalogo/engine atual."
"Toxic","2","Ezenek/gengar (Mega), dtvcacaio/Crobat","true","move:toxic:124","Poison","Status","automatic","0","catalog","Badly poisons the target, inflicting more damage every turn.","damage target=target res=fort | affliction target=target res=fort cond=impaired/disabled/incapacitated linked","OK pelo catalogo/engine atual."
"Toxic Spikes","2","Ezenek/Clefairy, Ezenek/Nidoran ♀","true","move:toxic-spikes:416","Poison","Status","automatic","1","catalog;runtime_decision","Scatters poisoned spikes, poisoning opposing Pokémon that switch in.","create target=field res=fort extras=Increased Range 1 | affliction target=target res=fort cond=poisoned/poisoned/poisoned linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Tri Attack","2","Delta/Hydreigon, James HiBorn/Magneton","true","move:tri-attack:417","Normal","Especial","automatic","0","catalog;secondary_guaranteed","Has a 20% chance to burn, freeze, or paralyze the target.","damage target=target res=thg extras=Increased Range 1 | affliction target=target res=thg cond=dazed/stunned/incapacitated linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Trick Room","1","Nala/Dottler","true","move:trick-room:75","Psychic","Status","automatic","0","catalog","For five turns, slower Pokémon will act before faster Pokémon.","environment target=field res=will extras=Increased Range 1+Area: Cloud","OK pelo catalogo/engine atual."
"U-turn","4","Eneias/Yanma, Ezenek/butterfree, Teste Batalha/Butterfree, dtvcacaio/Crobat","true","move:u-turn:125","Bug","Físico","automatic","1","catalog;runtime_decision","User must switch out after attacking.","damage target=target res=dodge | teleport target=target res=dodge linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Vacuum Wave","1","Icarus/Riolu","true","move:vacuum-wave:422","Fighting","Especial","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg extras=Increased Range 1","OK pelo catalogo/engine atual."
"Venom Drench","2","Delta/Muk-A, Ezenek/Seviper","true","move:venom-drench:423","Poison","Status","automatic","0","catalog","Lowers the target’s Attack, Special Attack, and Speed by one stage if it is poisoned.","weaken target=target res=thg","OK pelo catalogo/engine atual."
"Vine Whip","1","Nala/Chikorita","true","move:vine-whip:126","Grass","Físico","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Volt Switch","5","Eneias/Joltik, Ezenek/Emolga, Felicia Fulgar/Electivire, Felicia Fulgar/Raichu","true","move:volt-switch:60","Electric","Especial","automatic","1","catalog;runtime_decision","User must switch out after attacking.","damage target=target res=thg extras=Increased Range 1 | teleport target=target res=thg linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Water Gun","3","dtvcacaio/Poliwag, dtvcacaio/Squirtle, dtvcacaio/Squirtle","true","move:water-gun:127","Water","Especial","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg extras=Increased Range 1","OK pelo catalogo/engine atual."
"Water Pulse","3","Ezenek/Blastoise, Logan/Blastoise, Teste Batalha/Blastoise","true","move:water-pulse:159","Water","Especial","automatic","0","catalog;secondary_guaranteed","Has a 20% chance to confuse the target.","damage target=target res=thg extras=Increased Range 1 | affliction target=target res=will cond=vulnerable/defenseless/controlled linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Whirlpool","2","Delta/Staryu, James HiBorn/Empoleon","true","move:whirlpool:427","Water","Especial","automatic","1","catalog;runtime_decision","Prevents the target from leaving battle and inflicts 1/16 its max HP in damage for 2-5 turns.","damage target=target res=thg extras=Increased Range 1 | nullify target=target res=dodge extras=Increased Duration 3 (Sustained) linked | damage target=target res=fort linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Whirlwind","1","Teste Batalha/Butterfree","true","move:whirlwind:128","Normal","Status","automatic","1","catalog;runtime_decision","Immediately ends wild battles. Forces trainers to switch Pokémon.","move_object target=target res=fort extras=Area (Burst)+Increased Range 1","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Will-O-Wisp","2","Delta/Spiritomb, Icarus/Flaaffy","true","move:will-o-wisp:50","Fire","Status","automatic","0","catalog","Burns the target.","damage target=target res=fort trait=stgr linked | affliction target=target res=fort cond=impaired/disabled/incapacitated trait=stgr linked | weaken target=target res=fort trait=stgr linked","OK pelo catalogo/engine atual."
"Wish","1","Shintaro/Raichu Alola","true","move:wish:429","Normal","Status","automatic","0","catalog","User will recover half its max HP at the end of the next turn.","healing target=self extras=Increased Range 1+Affects Others","OK pelo catalogo/engine atual."
"Withdraw","6","Ezenek/Blastoise, Ezenek/Wartortle, Icarus/Wartortle, Teste Batalha/Blastoise","true","move:withdraw:430","Water","Status","automatic","0","catalog;self_debuff","Raises the user’s Defense by one stage.","enhanced_trait target=self trait=thg","OK pelo catalogo/engine atual."
"Wrap","1","Ezenek/Seviper","true","move:wrap:433","Normal","Físico","automatic","1","catalog;runtime_decision","Prevents the target from fleeing and inflicts damage for 2-5 turns.","damage target=target res=thg | nullify target=target res=dodge extras=Increased Duration 3 (Sustained) linked | damage target=target res=fort linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Yawn","1","Icarus/Mightyena","true","move:yawn:434","Normal","Status","automatic","0","catalog","Target sleeps at the end of the next turn.","affliction target=target res=will cond=asleep/asleep/asleep","OK pelo catalogo/engine atual."
"Zap Cannon","1","James HiBorn/Magneton","true","move:zap-cannon:435","Electric","Especial","automatic","0","catalog;secondary_guaranteed","Has a 100% chance to paralyze the target.","damage target=target res=thg extras=Increased Range 1","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"4 Braços Extras","1","Amber/golisopod","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Andando na Floresta","1","Nala/Primeape","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Andar na Floresta","1","Logan/Pikachu","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Andar nos Sipós","1","Logan/Victribell","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Bad Dreans","2","Ezenek/Darkrai, Logan/Darkrai","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Batton pass","1","James HiBorn/Espeon","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Bolinha de ferro","1","James HiBorn/Ferrothorn","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Camoflagem","1","Nala/Sawsbuck","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Cavar Dano","1","Logan/Infernape","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Cross Chop","1","Nala/Primeape","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Dark Void","2","Ezenek/Darkrai, Logan/Darkrai","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Dark Void Area","2","Ezenek/Darkrai, Logan/Darkrai","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Deflect: Deflect 15","1","Logan/Pikachu","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Dream Eater","2","Ezenek/Darkrai, Logan/Darkrai","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Emotional Resonance","1","Shintaro/Ponyta (Galar)","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Escalar","2","RCsar/chimchar, RCsar/chimchar","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Extrassensory","1","Nala/Noctowl","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Fire Punch","2","Ezenek/gengar (Mega), Ezenek/gengar (Mega)","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Gatinho mental","1","James HiBorn/Espeon","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Golpe Customizado","1","Jason/poliwag","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Guilliotine","2","Delta/Krabbynho, Nala/Kingler","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Hidro Pump","1","James HiBorn/Empoleon","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Ilusão","1","Amber/Starmie","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Imperatriz do mar","1","James HiBorn/Empoleon","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Leaf Poison","1","Logan/Victribell","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Magic Cylinder","1","James HiBorn/Empoleon","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Mind control","1","James HiBorn/Espeon","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Mjonir","1","Logan/Dragonite","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Movimentar na Floresta","1","RCsar/Doduo","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Nadar","1","Amber/Starmie","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Nightmare","2","Ezenek/Darkrai, Logan/Darkrai","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Novo Poder","2","James HiBorn/Dodrio, James HiBorn/Ferrothorn","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Phantom Trap","1","Ezenek/Gengar","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Psy Up","1","James HiBorn/Espeon","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Rapidinha","1","Nala/Sawsbuck","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Rock Throw","1","Shintaro/Lycanroc (Midnight)","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Salta Macaco","1","Nala/Primeape","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Salto","1","RCsar/Doduo","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Sense","2","RCsar/chimchar, RCsar/chimchar","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Sentido Aguçado","1","Nyx/yungoos","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Sentidos","1","RCsar/Doduo","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Sky Uppercut","2","Amber/Pangoro, Ezenek/Pangoro","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Smogscreen","1","Logan/Magmortar","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Smokescreen","1","Ezenek/Seviper","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Stockpille","1","Logan/Victribell","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Sweet Kiss","1","Nala/PICHU","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Tempestade Eletrica","1","Logan/Dragonite","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Visão Aguçada","1","Nala/Noctowl","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Voar","1","Logan/Dragonite","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
"Vôo","1","Nala/Noctowl","false","","","","fallback","","no_catalog","sem descricao Pokemon no catalogo","fallback: sem PowerRule no catalogo","Criar PowerRule v2/catalogado; hoje cairia em fallback generico por ficha."
